1,駆け込み乗車おやめください,kakekomijyousyaoyamekudasai
2,お前こっから入ってくんな,omaekokkarahaittekunna
3,松竹芸能のますだおかだです,shouchikugeinounomasudaokadadesu
4,チューボーですよってあれスタジオですよ,tyu-bo-desuyottearesutaziodesuyo
5,お決まりでしたらそちらのベルの方押して頂けますでしょうか〜？,okimaridesitarasotiranoberunohouositeitadakemasudesyouka
6,アメリカンハンバーグを作っている人間は和風ですけれどもよろしかったでしょうか？,amerikanhanba-guwotukuttuteiruningenhawahuudesukeredomoyorosikattadesyouka
7,シェフの気晴らしサラダ,shehunokibarasisarada
8,西田今日ブリック飲みながらパン食うてるやんけ,nisidakyouburikkunominagarapankuuteruyanke
9,おぎです　やはぎです　おぎやはぎです,ogidesuyahagidesuogiyahagidesu
10,まぁ俺はおぎがやりたいと思ってることはなるべくやらしてやりたいとおもってるからな,maaorehaogigayaritaitoomotterukotohanarubekuyarasiteyaritaitoomotterukarana
11,機関車に顔がアリマス,kikansyanikaogaarimasu
12,顔面機関車人トーマス,ganmenkikansyajinto-masu
13,三瓶の知り合いです,sanpeinosiriaidesu
14,奈良県立歴史民族博物館,narakenriturekishiminzokuhakubutukan
15,なんでそんなOLが風呂上りに食うもんばっか食うねん,nandesonnaolgahuroagarinikuumonbakkakuunen
16,テレビもねぇラジオもねぇ車もそれほど走ってねぇ,terebimoneeraziomoneekurumamosorehodohasixttenee
17,ピクルスを抜いてください,pikurusuwonuitekudasai
18,緑色いらんやないか,midoriiroiranyanaika
19,大きい方５千円　小さい方４６２０円のお返しです,ookiihou5senentiisaihou4620ennookaesidesu
20,不安だな　安心ではないという意味なんだ,huandanaansindehanaitoiuiminanda
21,東京駅に行きたいとお言い！,toukyouekiniikitaitooii
22,どうだい　アクセルを踏まれてる気分はどんな気分だい,doudaiakuseruwohumareterukibunhadonnakibundai
23,放送出来んようなエロ漫才したろかな,housoudekinyounaeromanzaisitarokana
24,フランシスコザビ散らかしてる,huransisukozabitirakasiteru
25,私火を怖がるサイやるから,watasihiwokowagarusaiyarukara
26,おーしずちゃーん中盤でトリッキーなことするなよー,o-sizutya-ntyuubandetorikki-nakotosurunayo-
27,これはクリリンの分,korehakuririnnobun
28,左腕第五先端爪部,hidariudedaigosentantumebu
29,お父さんが結婚を許してくれるまで僕はここをあまり動きません,otousangakekkonwoyurusitekurerumadebokuhakokowoamariugokimasen
30,お前の未来はwowwowwowowだよ,omaenomiraihawowwowwowowdayo
31,スキージャンプみたいになってるじゃねぇか,suki-jyanpumitaininatterujyaneeka
32,しずちゃんテレビって怖いんだぜ,sizutyanterebittekowaindaze
33,ないなーないなー靴ないなー,naina-naina-kutunaina-
34,近代バーベキューの父トーマスマッコイ,kindaiba-bekyu-notitito-masumakkoi
35,危機管理シミュレーション能力ゼロか,kikikanrisimyure-syonnouryokuzeroka
36,お前そんな字いっぱい書いてあるスクーター見たことあんのけ,omaesonnaziippaikaitearusuku-ta-mitakotoannoke
37,いつも行ってる皮膚科の先生に相談する,itumoitteruhihukanosenseinisoudansuru
